time,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_5,Comp_6,Comp_7,Comp_8,Comp_9
0,0.1542928839127938,-0.1036651404282312,-0.03832013801452511,-1.155006413520058,-0.1210877452660982,-1.475245239160037,-1.023828679843818,-0.3424636930874971,-0.3823884870877188,0.4302530702037249
1,1.793840947045077,0.0663463061819418,0.09048126418241581,-0.8498872626013902,0.2756955506023166,0.822191738216159,0.9460957228116278,-0.7586686377180724,0.1031551806126449,0.1728976601202896
2,-0.2537610996277634,-1.280478764441087,1.420628465883703,-0.1791995142711376,-0.4024996404619806,-0.0467769867202,-0.1850087038832081,0.02128262192033867,0.1779457951534576,0.6815392220716827
3,0.3152168095935753,1.114067409865622,0.5508457450937331,-0.5012530235944385,0.1690698864667571,-0.08161424428170264,-0.2475836062597555,-1.577699613869851,0.1234348217046313,1.105142066835357
4,-0.9123927175996536,-0.7708700760806607,-0.1949724173092951,0.08680154044584343,0.5427262844136915,-0.5294484670584974,-0.3106143404341875,0.9174812201113197,-0.2237523858651897,-0.3956371288599428
5,-0.502214061113698,0.1892542291332519,-0.6440239341435003,-0.3400742623451758,0.02485624028811549,0.04416374537462839,-0.08158005248366147,-2.332064111090537,-0.7936982793132079,2.038701347314262
6,0.4092422134152033,-0.07933559874525686,0.1276311861635351,0.1387188475810856,-0.05148070316366516,-0.1205305980668543,-0.417742705213229,-0.05230624616884239,0.3898494583401703,-0.3620393641141878
7,0.7648471243695347,0.6643551933864764,-0.8642189523681931,0.6742623916555077,0.2567317457625703,-0.4703743350436395,-0.8103657539510634,-1.053803626720763,-0.3650103035019542,-0.3086372463370186
8,1.980125929472538,1.358108711595325,-0.248017488273715,-1.243259560172446,0.1414824967828473,-0.9540085479973609,-0.9928868268597791,-0.9528252734429546,-0.6829429323423595,-0.9579787813990618
9,0.06525232706095875,-0.8897361352747334,0.5324865938834102,0.9387244303414544,0.09246279746919746,-1.381708909601213,0.253709700122748,-0.3151660939785,0.5523909007629426,0.5788670370992745
